date,forecast_units,sku
2024-07-21,17.34284,SKU_141
2024-07-28,17.069983,SKU_141
2024-08-04,16.922558,SKU_141
2024-08-11,16.775074,SKU_141
2024-08-18,16.502277,SKU_141
2024-08-25,16.229424,SKU_141
2024-09-01,16.08199,SKU_141
2024-09-08,15.934505,SKU_141
2024-06-23,-35.292984,SKU_142
2024-06-30,-35.324066,SKU_142
2024-07-07,-35.35513,SKU_142
2024-07-14,-35.304516,SKU_142
2024-07-21,-35.335583,SKU_142
2024-07-28,-35.366642,SKU_142
2024-08-04,-35.316036,SKU_142
2024-08-11,-35.26542,SKU_142
2024-08-18,-35.29649,SKU_142
2024-08-25,-35.327545,SKU_142
2024-09-01,-35.276943,SKU_142
2024-09-08,-35.22633,SKU_142
2024-06-23,-93.745964,SKU_143
2024-06-30,-94.08303,SKU_143
2024-07-07,-94.42001,SKU_143
2024-07-14,-94.712494,SKU_143
2024-07-21,-95.049484,SKU_143
2024-07-28,-95.38639,SKU_143
2024-08-04,-95.678955,SKU_143
2024-08-11,-95.97143,SKU_143
2024-08-18,-96.30842,SKU_143
2024-08-25,-96.64534,SKU_143
2024-09-01,-96.9379,SKU_143
2024-09-08,-97.230354,SKU_143
2024-06-30,31.508701,SKU_144
2024-07-07,31.14182,SKU_144
2024-07-14,30.740856,SKU_144
2024-07-21,30.373981,SKU_144
2024-07-28,30.0071,SKU_144
2024-08-04,29.606136,SKU_144
2024-08-11,29.205168,SKU_144
2024-08-18,28.838297,SKU_144
2024-08-25,28.471418,SKU_144
2024-09-01,28.070448,SKU_144
2024-09-08,27.669481,SKU_144
2024-09-15,27.302608,SKU_144
2024-06-09,85.46839,SKU_145
2024-06-16,85.6827,SKU_145
2024-06-23,85.729034,SKU_145
2024-06-30,85.94347,SKU_145
2024-07-07,86.157845,SKU_145
2024-07-14,86.28819,SKU_145
2024-07-21,86.50256,SKU_145
2024-07-28,86.71688,SKU_145
2024-08-04,86.84729,SKU_145
2024-08-11,86.97762,SKU_145
2024-08-18,87.19201,SKU_145
2024-08-25,87.406334,SKU_145
2024-06-16,5.058034,SKU_146
2024-06-23,4.8350973,SKU_146
2024-06-30,4.5137634,SKU_146
2024-07-07,4.1924286,SKU_146
2024-07-14,3.920297,SKU_146
2024-07-21,3.5989692,SKU_146
2024-07-28,3.27764,SKU_146
2024-08-04,3.005499,SKU_146
2024-08-11,2.7333682,SKU_146
2024-08-18,2.4120378,SKU_146
2024-08-25,2.09071,SKU_146
2024-09-01,1.8185728,SKU_146
2024-06-23,94.20562,SKU_147
2024-06-30,94.135376,SKU_147
2024-07-07,94.06504,SKU_147
2024-07-14,93.865776,SKU_147
2024-07-21,93.79544,SKU_147
2024-07-28,93.72503,SKU_147
2024-08-04,93.52585,SKU_147
2024-08-11,93.32658,SKU_147
2024-08-18,93.25626,SKU_147
2024-08-25,93.185844,SKU_147
2024-09-01,92.986664,SKU_147
2024-09-08,92.78739,SKU_147
2024-06-23,39.609753,SKU_148
2024-06-30,39.195526,SKU_148
2024-07-07,38.781273,SKU_148
2024-07-14,38.414192,SKU_148
2024-07-21,37.99994,SKU_148
2024-07-28,37.585667,SKU_148
2024-08-04,37.2186,SKU_148
2024-08-11,36.85152,SKU_148
2024-08-18,36.437267,SKU_148
2024-08-25,36.023003,SKU_148
2024-09-01,35.655937,SKU_148
2024-09-08,35.28885,SKU_148
2024-06-09,-24.934107,SKU_149
2024-06-16,-24.92578,SKU_149
2024-06-23,-24.750967,SKU_149
2024-06-30,-24.742529,SKU_149
2024-07-07,-24.734142,SKU_149
2024-07-14,-24.642548,SKU_149
2024-07-21,-24.63416,SKU_149
2024-07-28,-24.625826,SKU_149
2024-08-04,-24.534184,SKU_149
2024-08-11,-24.442593,SKU_149
2024-08-18,-24.4342,SKU_149
2024-08-25,-24.425858,SKU_149
2024-06-23,32.204735,SKU_150
2024-06-30,31.806093,SKU_150
2024-07-07,31.407467,SKU_150
